State,Year,Category,E-Waste Generated (Tonnes),E-Waste Collected (Tonnes),Collection Rate (%),Recycled (Tonnes),Recycling Efficiency (%),Hazardous Waste (Tonnes),Region
Punjab,2019,Batteries & Cells,703.8,183.8,0.261,141.4,0.769,96,North
Punjab,2019,Lighting Equipment,402.6,92.9,0.231,59.8,0.644,54.8,North
Punjab,2020,Computers & Peripherals,"1,581.10",377.7,0.239,248.5,0.658,253.8,North
Punjab,2020,Mobile Phones & Tablets,"1,309.70",286.6,0.219,202.9,0.708,161,North
Punjab,2020,Television & Monitors,"1,091.90",208.5,0.191,156,0.748,173.5,North
Punjab,2020,Refrigerators & AC,"1,040.60",199.2,0.191,157,0.788,209,North
Punjab,2020,Washing Machines,507.3,93.8,0.185,76.7,0.818,70.4,North
Punjab,2020,Printers & Scanners,475.2,98.5,0.207,65.6,0.666,98,North
Punjab,2020,Batteries & Cells,641.9,140.4,0.219,105.2,0.749,116.3,North
Punjab,2020,Lighting Equipment,361.6,72.5,0.2,58.8,0.811,65.7,North
Punjab,2021,Computers & Peripherals,"1,752.90",502.5,0.287,338.9,0.674,318.1,North
Punjab,2021,Mobile Phones & Tablets,"1,334.30",320.7,0.24,201.9,0.63,200.9,North
Punjab,2021,Television & Monitors,"1,026.90",293.4,0.286,213.5,0.728,166.2,North
Punjab,2021,Refrigerators & AC,947.2,246.8,0.261,159.5,0.646,173.9,North
Punjab,2021,Washing Machines,620.3,174.8,0.282,148.6,0.85,108.9,North
Punjab,2021,Printers & Scanners,517.4,124.6,0.241,84.6,0.679,85.4,North
Punjab,2021,Batteries & Cells,595.5,154,0.259,92.8,0.603,79.6,North
Punjab,2021,Lighting Equipment,398.5,122.6,0.308,89.1,0.727,67.5,North
Punjab,2022,Computers & Peripherals,"1,762.20",515.3,0.292,417.4,0.81,297.6,North
Punjab,2022,Mobile Phones & Tablets,"1,380.40",355.8,0.258,281.2,0.79,206,North
Punjab,2022,Television & Monitors,"1,088.30",330.2,0.303,212,0.642,180.4,North
Punjab,2022,Refrigerators & AC,"1,136.30",368.1,0.324,271.4,0.737,149.2,North
Punjab,2022,Washing Machines,556.8,180.8,0.325,145.7,0.806,87.2,North
Punjab,2022,Printers & Scanners,578.5,149.7,0.259,116.7,0.78,101,North
Punjab,2022,Batteries & Cells,771.4,203.8,0.264,164.6,0.808,150.5,North
Punjab,2022,Lighting Equipment,364.9,125.9,0.345,89.7,0.712,56.5,North
Punjab,2023,Computers & Peripherals,"1,877.20",608.2,0.324,516.1,0.849,370.9,North
Punjab,2023,Mobile Phones & Tablets,"1,485.90",536.1,0.361,400.5,0.747,230.4,North
Punjab,2023,Television & Monitors,"1,249.70",428.8,0.343,275.1,0.642,167.4,North
Punjab,2023,Refrigerators & AC,"1,032.00",310.6,0.301,191,0.615,160,North
Punjab,2023,Washing Machines,601.1,200.7,0.334,136.7,0.681,114.5,North
Punjab,2023,Printers & Scanners,527,161.8,0.307,131.8,0.815,115.2,North
Punjab,2023,Batteries & Cells,744.4,215.8,0.29,181.4,0.841,147.8,North
Punjab,2023,Lighting Equipment,436.4,165.3,0.379,135,0.817,57.9,North
Haryana,2018,Computers & Peripherals,"1,675.30",340.9,0.203,265.2,0.778,339.8,North
Haryana,2018,Mobile Phones & Tablets,"1,487.90",344.6,0.232,248.9,0.722,264.5,North
Haryana,2018,Television & Monitors,991.7,212.6,0.214,151.6,0.713,181.8,North
Haryana,2018,Refrigerators & AC,"1,069.40",206.5,0.193,150.5,0.729,158.1,North
Haryana,2018,Washing Machines,618.6,130.7,0.211,109.5,0.838,94.5,North
Haryana,2018,Printers & Scanners,431.5,102.7,0.238,80.4,0.783,83.3,North
Haryana,2018,Batteries & Cells,623.7,144,0.231,99.3,0.69,78.8,North
Haryana,2018,Lighting Equipment,352.9,71.1,0.201,50.3,0.707,49.8,North
Haryana,2019,Computers & Peripherals,"1,614.40",443.4,0.275,303.5,0.684,287,North
Haryana,2019,Mobile Phones & Tablets,"1,578.70",392.9,0.249,269.5,0.686,297.2,North
Haryana,2019,Television & Monitors,"1,039.20",228.6,0.22,182,0.796,172.5,North
Haryana,2019,Refrigerators & AC,989.7,274,0.277,194.6,0.71,118.8,North
Haryana,2019,Washing Machines,689.9,157.1,0.228,121.3,0.772,91.9,North
Haryana,2019,Printers & Scanners,563.5,126.5,0.224,105.4,0.833,83.1,North
Haryana,2019,Batteries & Cells,725.2,167.7,0.231,116.2,0.693,152.6,North
Haryana,2019,Lighting Equipment,357.3,86.5,0.242,58.5,0.676,67.9,North
Haryana,2020,Computers & Peripherals,"1,571.50",345.4,0.22,268,0.776,188.8,North
Haryana,2020,Mobile Phones & Tablets,"1,517.50",283.6,0.187,186.2,0.657,285.3,North
Haryana,2020,Television & Monitors,"1,009.70",224.5,0.222,180.6,0.804,220.9,North
Haryana,2020,Refrigerators & AC,"1,048.30",195.9,0.187,121,0.618,166,North
Haryana,2020,Washing Machines,644.2,119.1,0.185,80.8,0.678,134.1,North
Haryana,2020,Printers & Scanners,487.6,110.8,0.227,87.3,0.788,65,North
Haryana,2020,Batteries & Cells,767.9,144,0.187,105.5,0.733,92.8,North
Haryana,2020,Lighting Equipment,395.2,81.5,0.206,63.6,0.78,72.2,North
Haryana,2021,Computers & Peripherals,"1,608.70",422.8,0.263,326.3,0.772,331.4,North
Haryana,2021,Mobile Phones & Tablets,"1,437.70",341.7,0.238,269.3,0.788,257.3,North
Haryana,2021,Television & Monitors,"1,163.70",357.9,0.308,242.9,0.679,155.9,North
Haryana,2021,Refrigerators & AC,"1,057.40",249.9,0.236,184.5,0.738,190.3,North
Haryana,2021,Washing Machines,654.9,191.6,0.293,148,0.772,134.1,North
Haryana,2021,Printers & Scanners,579.8,147.2,0.254,107.4,0.73,99.1,North
Haryana,2021,Batteries & Cells,760.9,192.8,0.253,118.3,0.614,159.6,North
Haryana,2021,Lighting Equipment,442.5,119.3,0.27,74.9,0.628,75.2,North
Haryana,2022,Computers & Peripherals,"1,858.20",562.2,0.303,474.7,0.844,406.4,North
Haryana,2022,Mobile Phones & Tablets,"1,824.00",486.8,0.267,396.8,0.815,322.6,North
Haryana,2022,Television & Monitors,"1,199.00",379.4,0.316,300,0.791,258.3,North
Haryana,2022,Refrigerators & AC,"1,231.40",315.9,0.257,194.9,0.617,180.1,North
Haryana,2022,Washing Machines,587.8,153.1,0.26,122.1,0.798,100.3,North
Haryana,2022,Printers & Scanners,596,178.9,0.3,125.9,0.704,113.3,North
Haryana,2022,Batteries & Cells,668.9,202.9,0.303,153,0.754,98.8,North
Haryana,2022,Lighting Equipment,394.2,118.7,0.301,77.2,0.65,79.2,North
Haryana,2023,Computers & Peripherals,"1,895.20",604.9,0.319,458.9,0.759,385.6,North
Haryana,2023,Mobile Phones & Tablets,"1,782.20",511.6,0.287,396.3,0.775,344,North
Haryana,2023,Television & Monitors,"1,387.50",397.1,0.286,246.8,0.622,226.8,North
Haryana,2023,Refrigerators & AC,"1,182.20",402.9,0.341,272.9,0.677,229.5,North
Haryana,2023,Washing Machines,722.7,211.3,0.292,164.2,0.777,137.4,North
Haryana,2023,Printers & Scanners,549.6,206,0.375,150.5,0.731,109,North
Haryana,2023,Batteries & Cells,809.3,240.4,0.297,151.9,0.632,160.3,North
Haryana,2023,Lighting Equipment,403.3,148.5,0.368,117.7,0.793,49.6,North
Bihar,2018,Computers & Peripherals,944.9,193.7,0.205,119.3,0.616,180.7,East
Bihar,2018,Mobile Phones & Tablets,814.7,156.5,0.192,111.7,0.714,127.1,East
Bihar,2018,Television & Monitors,599.9,134.6,0.224,93.1,0.692,87.3,East
Bihar,2018,Refrigerators & AC,506.6,113.9,0.225,88.9,0.781,72.4,East
Bihar,2018,Washing Machines,320.7,60.9,0.19,49.7,0.816,46.3,East
Bihar,2018,Printers & Scanners,278.1,59,0.212,37.6,0.637,59.3,East
Bihar,2018,Batteries & Cells,390.9,87.4,0.223,72.4,0.828,75.9,East
Bihar,2018,Lighting Equipment,196.1,40.8,0.208,28.7,0.703,37.7,East
Bihar,2019,Computers & Peripherals,923.2,201.6,0.218,139.7,0.693,157.1,East
Bihar,2019,Mobile Phones & Tablets,973.7,220,0.226,176.2,0.801,212.4,East
Bihar,2019,Television & Monitors,738.6,160.8,0.218,115.2,0.716,109.5,East
Bihar,2019,Refrigerators & AC,673,159.5,0.237,117.8,0.739,81.3,East
Bihar,2019,Washing Machines,329.7,84,0.255,56.8,0.676,60.1,East
Bihar,2019,Printers & Scanners,308.1,79.1,0.257,57.2,0.723,60.8,East
Bihar,2019,Batteries & Cells,370.4,103.7,0.28,81.9,0.79,53.5,East
Bihar,2019,Lighting Equipment,195.7,47.6,0.243,31.3,0.658,30.3,East
Bihar,2020,Computers & Peripherals,"1,037.40",242.5,0.234,203.2,0.838,124.6,East
Bihar,2020,Mobile Phones & Tablets,904.9,209.9,0.232,164.1,0.782,118,East
Bihar,2020,Television & Monitors,658.7,127.5,0.194,92.2,0.723,83,East
Bihar,2020,Refrigerators & AC,683.2,152.6,0.223,95.1,0.623,144.9,East
Bihar,2020,Washing Machines,382.1,80.7,0.211,62.6,0.776,60.1,East
Bihar,2020,Printers & Scanners,340,62.5,0.184,39,0.624,45.3,East
Bihar,2020,Batteries & Cells,422.5,77.4,0.183,57.4,0.742,69.1,East
Bihar,2020,Lighting Equipment,242.3,46.9,0.193,31.2,0.665,36.7,East
Bihar,2021,Computers & Peripherals,"1,075.60",307.9,0.286,241.3,0.784,163.3,East
Bihar,2021,Mobile Phones & Tablets,862.1,203.1,0.236,132.2,0.651,170.7,East
Bihar,2021,Television & Monitors,697.9,169,0.242,108.3,0.641,116.3,East
Bihar,2021,Refrigerators & AC,624.1,170.3,0.273,143.2,0.841,87.9,East
Bihar,2021,Washing Machines,348,87.3,0.251,55,0.63,47.2,East
Bihar,2021,Printers & Scanners,333.5,98.9,0.296,76.6,0.775,41.4,East
Bihar,2021,Batteries & Cells,443.5,113.6,0.256,70.8,0.623,64.2,East
Bihar,2021,Lighting Equipment,220.1,59.7,0.271,45.9,0.769,32.1,East
Bihar,2022,Computers & Peripherals,"1,160.70",299.2,0.258,209.8,0.701,191.8,East
Bihar,2022,Mobile Phones & Tablets,"1,000.20",277.5,0.277,198.6,0.716,200.4,East
Bihar,2022,Television & Monitors,646.8,165.6,0.256,133.7,0.807,141.2,East
Bihar,2022,Refrigerators & AC,602.2,198.2,0.329,137.4,0.693,110.2,East
Bihar,2022,Washing Machines,390.7,120.1,0.307,79.8,0.664,78.6,East
Bihar,2022,Printers & Scanners,292.5,76.3,0.261,63,0.826,48.1,East
Bihar,2022,Batteries & Cells,387,130.2,0.336,105.1,0.807,59.3,East
Bihar,2022,Lighting Equipment,210.1,62.3,0.296,40,0.642,37.3,East
Bihar,2023,Computers & Peripherals,"1,156.50",369.6,0.32,224.5,0.607,217.8,East
Bihar,2023,Mobile Phones & Tablets,899.4,271.4,0.302,175.5,0.647,133.1,East
Bihar,2023,Television & Monitors,799.4,227,0.284,171.3,0.755,115.6,East
Bihar,2023,Refrigerators & AC,649.6,208.7,0.321,154,0.738,81.9,East
Bihar,2023,Washing Machines,369.8,108.8,0.294,70.7,0.65,77.1,East
Bihar,2023,Printers & Scanners,343.7,117.9,0.343,94.4,0.801,68.6,East
Bihar,2023,Batteries & Cells,490.8,175.7,0.358,121.2,0.69,85.6,East
Bihar,2023,Lighting Equipment,243.1,90.2,0.371,65.4,0.725,38.6,East
Odisha,2018,Computers & Peripherals,913.9,190.1,0.208,124.5,0.655,191.5,East
Odisha,2018,Mobile Phones & Tablets,960.2,183.3,0.191,155.4,0.848,166.1,East
Odisha,2018,Television & Monitors,718.2,181.7,0.253,153.3,0.844,93.4,East
Odisha,2018,Refrigerators & AC,653.7,133.7,0.205,107.5,0.804,138.4,East
Odisha,2018,Washing Machines,321.6,81.3,0.253,53.2,0.654,65.8,East
Odisha,2018,Printers & Scanners,337.5,71,0.21,57.5,0.81,69,East
Odisha,2018,Batteries & Cells,373.5,84.5,0.226,67.7,0.801,70.9,East
Odisha,2018,Lighting Equipment,247.4,46.7,0.189,36.2,0.775,53.1,East
Odisha,2019,Computers & Peripherals,"1,115.70",284.2,0.255,183.9,0.647,244.1,East
Odisha,2019,Mobile Phones & Tablets,"1,090.50",272,0.249,184.2,0.677,184.3,East
Odisha,2019,Television & Monitors,675.6,155.4,0.23,101.7,0.654,116.6,East
Odisha,2019,Refrigerators & AC,615.5,173.2,0.281,112.6,0.65,81.9,East
Odisha,2019,Washing Machines,420.4,118.3,0.281,95.9,0.811,64.1,East
Odisha,2019,Printers & Scanners,309.5,79.4,0.256,65.8,0.829,61.1,East
Odisha,2019,Batteries & Cells,486.9,134.9,0.277,113.3,0.84,76.6,East
Odisha,2019,Lighting Equipment,276.2,66.9,0.242,41.8,0.625,41.5,East
Odisha,2020,Computers & Peripherals,984.9,185.6,0.188,155.4,0.837,196.2,East
Odisha,2020,Mobile Phones & Tablets,"1,089.50",239,0.219,153.8,0.644,236.3,East
Odisha,2020,Television & Monitors,769.9,182.5,0.237,145.4,0.797,109.6,East
Odisha,2020,Refrigerators & AC,701.4,132.9,0.19,89.9,0.676,132.5,East
Odisha,2020,Washing Machines,357.3,80.2,0.224,67.1,0.837,76.8,East
Odisha,2020,Printers & Scanners,334.4,80.6,0.241,67.8,0.841,41.2,East
Odisha,2020,Batteries & Cells,452.3,107,0.237,90.1,0.842,64.3,East
Odisha,2020,Lighting Equipment,249.1,59.2,0.238,37.6,0.635,48.5,East
Odisha,2021,Computers & Peripherals,"1,057.60",326.9,0.309,209.9,0.642,220.5,East
Odisha,2021,Mobile Phones & Tablets,924.7,265.3,0.287,201.6,0.76,193,East
Odisha,2021,Television & Monitors,759.6,190.6,0.251,126.3,0.663,96.3,East
Odisha,2021,Refrigerators & AC,676.3,161.1,0.238,96.7,0.6,107.3,East
Odisha,2021,Washing Machines,433.3,133.5,0.308,109.6,0.821,73.4,East
Odisha,2021,Printers & Scanners,348.6,95.4,0.274,59.7,0.626,58.5,East
Odisha,2021,Batteries & Cells,502,141.7,0.282,109.4,0.772,68.4,East
Odisha,2021,Lighting Equipment,230.3,68.6,0.298,46.2,0.673,35,East
Odisha,2022,Computers & Peripherals,"1,294.80",338.8,0.262,217.7,0.643,204,East
Odisha,2022,Mobile Phones & Tablets,"1,121.10",341.1,0.304,281.2,0.824,145,East
Odisha,2022,Television & Monitors,814.5,252.7,0.31,182.1,0.721,100.3,East
Odisha,2022,Refrigerators & AC,822.3,221.9,0.27,182.5,0.822,111.6,East
Odisha,2022,Washing Machines,384.1,105.1,0.273,68.1,0.648,72.9,East
Odisha,2022,Printers & Scanners,391.5,125.6,0.321,83.7,0.666,58,East
Odisha,2022,Batteries & Cells,447.8,116.2,0.259,86.3,0.743,91.3,East
Odisha,2022,Lighting Equipment,243.4,70,0.287,49.5,0.707,36.4,East
Odisha,2023,Computers & Peripherals,"1,254.80",426.5,0.34,277.2,0.65,153.8,East
Odisha,2023,Mobile Phones & Tablets,"1,011.30",312.9,0.309,194.1,0.62,206.7,East
Odisha,2023,Television & Monitors,785.6,251.3,0.32,181.5,0.722,146.2,East
Odisha,2023,Refrigerators & AC,693.2,231.8,0.334,149.8,0.646,144.6,East
Odisha,2023,Washing Machines,425.4,138.1,0.325,92,0.666,70.8,East
Odisha,2023,Printers & Scanners,359.1,110.3,0.307,67.9,0.616,70.1,East
Odisha,2023,Batteries & Cells,514,148.5,0.289,101.9,0.686,89.5,East
Odisha,2023,Lighting Equipment,305.5,103.5,0.339,76.4,0.738,62.3,East
Jharkhand,2018,Computers & Peripherals,828.8,177.9,0.215,130.6,0.734,171.3,East
Jharkhand,2018,Mobile Phones & Tablets,695.8,170.6,0.245,122.7,0.719,89,East
Jharkhand,2018,Television & Monitors,575.7,134.8,0.234,97.8,0.726,120.9,East
Jharkhand,2018,Refrigerators & AC,525.3,121.7,0.232,91.9,0.755,69.4,East
Jharkhand,2018,Washing Machines,297.3,59,0.198,49.9,0.846,64.6,East
Jharkhand,2018,Printers & Scanners,263.1,51.4,0.195,36.3,0.706,57.6,East
Jharkhand,2018,Batteries & Cells,310.1,78.4,0.253,59.3,0.756,63.1,East
Jharkhand,2018,Lighting Equipment,164.8,40.7,0.247,33.7,0.828,20.9,East
Jharkhand,2019,Computers & Peripherals,831.7,201.5,0.242,137.3,0.681,122.8,East
Jharkhand,2019,Mobile Phones & Tablets,769.2,213.8,0.278,170.3,0.797,140.2,East
Jharkhand,2019,Television & Monitors,585.9,142.9,0.244,100.5,0.703,79,East
Jharkhand,2019,Refrigerators & AC,555.4,149.6,0.269,124.9,0.835,118,East
Jharkhand,2019,Washing Machines,315.5,69.4,0.22,46.6,0.671,54.8,East
Jharkhand,2019,Printers & Scanners,261.8,63.7,0.243,44.3,0.695,44.1,East
Jharkhand,2019,Batteries & Cells,358.8,77.3,0.215,51.7,0.669,48.2,East
Jharkhand,2019,Lighting Equipment,199.3,52.7,0.265,32.1,0.609,41.6,East
Jharkhand,2020,Computers & Peripherals,805.4,155.8,0.193,122.5,0.786,170.8,East
Jharkhand,2020,Mobile Phones & Tablets,835.7,150.2,0.18,120.8,0.804,125.6,East
Jharkhand,2020,Television & Monitors,542.1,113.6,0.209,87.9,0.774,70.4,East
Jharkhand,2020,Refrigerators & AC,581.4,108.7,0.187,91.7,0.844,95.5,East
Jharkhand,2020,Washing Machines,329.1,64.3,0.195,45.3,0.705,60.7,East
Jharkhand,2020,Printers & Scanners,247,47.4,0.192,38.2,0.806,47.9,East
Jharkhand,2020,Batteries & Cells,364.7,85,0.233,68.4,0.805,62.6,East
Jharkhand,2020,Lighting Equipment,175.1,34.7,0.198,25.2,0.726,23.4,East
Jharkhand,2021,Computers & Peripherals,951.8,286.2,0.301,173.8,0.607,132.6,East
Jharkhand,2021,Mobile Phones & Tablets,861.8,256.2,0.297,169.7,0.662,142.8,East
Jharkhand,2021,Television & Monitors,658.5,188.7,0.287,126.1,0.668,133.2,East
Jharkhand,2021,Refrigerators & AC,559.3,157.1,0.281,99.1,0.631,68.8,East
Jharkhand,2021,Washing Machines,309.4,85.9,0.278,55.4,0.645,64.1,East
Jharkhand,2021,Printers & Scanners,285.1,73.5,0.258,47.1,0.641,59.7,East
Jharkhand,2021,Batteries & Cells,380.6,108.6,0.285,72.9,0.671,60.4,East
Jharkhand,2021,Lighting Equipment,183.4,50.6,0.276,42.6,0.842,37.7,East
Jharkhand,2022,Computers & Peripherals,940.7,297.3,0.316,198.4,0.667,151.4,East
Jharkhand,2022,Mobile Phones & Tablets,730.9,237.7,0.325,188.2,0.792,88.4,East
Jharkhand,2022,Television & Monitors,680.7,213.2,0.313,160,0.75,82.3,East
Jharkhand,2022,Refrigerators & AC,543.8,178.1,0.327,120.5,0.677,117.8,East
Jharkhand,2022,Washing Machines,341.7,100.2,0.293,69.6,0.695,52.9,East
Jharkhand,2022,Printers & Scanners,271.9,80.8,0.297,62.2,0.77,55,East
Jharkhand,2022,Batteries & Cells,362.5,95.8,0.264,69.7,0.728,67.5,East
Jharkhand,2022,Lighting Equipment,223.5,64.5,0.289,49.1,0.761,40.4,East
Jharkhand,2023,Computers & Peripherals,894,260.3,0.291,160.3,0.616,195.6,East
Jharkhand,2023,Mobile Phones & Tablets,882.8,322.9,0.366,214.8,0.665,168.7,East
Jharkhand,2023,Television & Monitors,700.8,217.3,0.31,138.5,0.637,137.7,East
Jharkhand,2023,Refrigerators & AC,655.1,236,0.36,188.9,0.8,117.9,East
Jharkhand,2023,Washing Machines,354.8,123.4,0.348,96.3,0.78,65.8,East
Jharkhand,2023,Printers & Scanners,334.6,102.4,0.306,72.2,0.705,53.1,East
Jharkhand,2023,Batteries & Cells,341.4,119.7,0.351,88.9,0.743,47.5,East
Jharkhand,2023,Lighting Equipment,225.1,68.1,0.303,50,0.734,44.7,East
Assam,2018,Computers & Peripherals,724.4,167.6,0.231,121.8,0.727,148.2,Northeast
Assam,2018,Mobile Phones & Tablets,649.1,158.9,0.245,102.5,0.645,84.2,Northeast
Assam,2018,Television & Monitors,409.8,83.6,0.204,67.1,0.803,80.4,Northeast
Assam,2018,Refrigerators & AC,388.1,90,0.232,61.6,0.684,50,Northeast
Assam,2018,Washing Machines,231.7,54.7,0.236,37,0.676,46.1,Northeast
Assam,2018,Printers & Scanners,201.5,41.1,0.204,27.7,0.674,41.3,Northeast
Assam,2018,Batteries & Cells,268.1,65.5,0.244,48.9,0.747,57.5,Northeast
Assam,2018,Lighting Equipment,134.6,33.1,0.246,24,0.725,27.8,Northeast
Assam,2019,Computers & Peripherals,711.8,167.2,0.235,102.6,0.614,146.2,Northeast
Assam,2019,Mobile Phones & Tablets,608,138.3,0.228,97.1,0.702,107.6,Northeast
Assam,2019,Television & Monitors,548.2,135.3,0.247,91.9,0.679,105,Northeast
Assam,2019,Refrigerators & AC,497.4,123.9,0.249,93.9,0.758,68.5,Northeast
Assam,2019,Washing Machines,275,58.5,0.213,39.1,0.668,53.9,Northeast
Assam,2019,Printers & Scanners,214.6,57.9,0.27,41.8,0.722,42.1,Northeast
Assam,2019,Batteries & Cells,270.1,69.8,0.259,52.9,0.758,43.3,Northeast
Assam,2019,Lighting Equipment,185.1,44.7,0.241,27.2,0.609,25.9,Northeast
Assam,2020,Computers & Peripherals,697.5,125.1,0.179,85.1,0.68,141.8,Northeast
Assam,2020,Mobile Phones & Tablets,605.4,133.9,0.221,101.3,0.757,87.7,Northeast
Assam,2020,Television & Monitors,513.3,102.8,0.2,65,0.632,81.3,Northeast
Assam,2020,Refrigerators & AC,467.5,88.4,0.189,71.2,0.805,70,Northeast
Assam,2020,Washing Machines,248.5,55.8,0.224,41.8,0.749,38.2,Northeast
Assam,2020,Printers & Scanners,250.2,60.4,0.241,41.4,0.685,52.6,Northeast
Assam,2020,Batteries & Cells,284.4,54.1,0.19,45.3,0.837,60.2,Northeast
Assam,2020,Lighting Equipment,159.7,30.8,0.193,24.1,0.782,21.3,Northeast
Assam,2021,Computers & Peripherals,794.7,220.3,0.277,141.5,0.642,124.5,Northeast
Assam,2021,Mobile Phones & Tablets,708.7,164.8,0.233,135,0.819,103.2,Northeast
Assam,2021,Television & Monitors,517.3,120.8,0.233,102.5,0.849,96.3,Northeast
Assam,2021,Refrigerators & AC,496.4,114.7,0.231,88.6,0.772,80.3,Northeast
Assam,2021,Washing Machines,265.7,72.8,0.274,52.3,0.718,36,Northeast
Assam,2021,Printers & Scanners,250.6,70.3,0.281,47.5,0.676,46.7,Northeast
Assam,2021,Batteries & Cells,319.8,80.4,0.251,60.4,0.751,42.8,Northeast
Assam,2021,Lighting Equipment,184.6,43.9,0.238,34.2,0.779,24.3,Northeast
Assam,2022,Computers & Peripherals,706.7,187,0.265,121.5,0.65,98.9,Northeast
Assam,2022,Mobile Phones & Tablets,667.7,201.7,0.302,131.2,0.65,127.1,Northeast
Assam,2022,Television & Monitors,504.9,130.5,0.259,94.5,0.724,71.1,Northeast
Assam,2022,Refrigerators & AC,547.1,155.8,0.285,93.6,0.601,102.4,Northeast
Assam,2022,Washing Machines,310.9,102.7,0.33,78.8,0.767,41.9,Northeast
Assam,2022,Printers & Scanners,223.4,67.3,0.301,52.6,0.782,29.1,Northeast
Assam,2022,Batteries & Cells,299.9,82.7,0.276,70.1,0.848,44.9,Northeast
Assam,2022,Lighting Equipment,175.5,46.3,0.264,29.8,0.644,21.8,Northeast
Assam,2023,Computers & Peripherals,764.7,275.2,0.36,186.6,0.678,148.2,Northeast
Assam,2023,Mobile Phones & Tablets,660.8,235,0.356,143.7,0.611,135.6,Northeast
Assam,2023,Television & Monitors,570.5,169.7,0.297,117,0.689,93.4,Northeast
Assam,2023,Refrigerators & AC,527.4,193.8,0.367,120.8,0.623,106.3,Northeast
Assam,2023,Washing Machines,270.5,86.6,0.32,72.8,0.841,39.8,Northeast
Assam,2023,Printers & Scanners,249.2,90.9,0.365,72.7,0.8,46.1,Northeast
Assam,2023,Batteries & Cells,352.9,102.9,0.292,79.6,0.774,44.4,Northeast
Assam,2023,Lighting Equipment,202.4,60,0.296,42.2,0.703,36.2,Northeast
Chhattisgarh,2018,Computers & Peripherals,755.1,175,0.232,112.9,0.645,119.3,Central
Chhattisgarh,2018,Mobile Phones & Tablets,618.3,116.8,0.189,90.1,0.771,126,Central
Chhattisgarh,2018,Television & Monitors,534.5,104.6,0.196,86.8,0.83,70.2,Central
Chhattisgarh,2018,Refrigerators & AC,438.5,83.3,0.19,55.4,0.665,66.4,Central
Chhattisgarh,2018,Washing Machines,268.6,62.2,0.232,49.3,0.793,47.7,Central
Chhattisgarh,2018,Printers & Scanners,227.5,57.2,0.252,43.9,0.767,35,Central
Chhattisgarh,2018,Batteries & Cells,289.6,67.5,0.233,42.1,0.624,53.9,Central
Chhattisgarh,2018,Lighting Equipment,150.3,31.5,0.21,24.2,0.768,23.8,Central
Chhattisgarh,2019,Computers & Peripherals,845,214.9,0.254,182,0.847,106,Central
Chhattisgarh,2019,Mobile Phones & Tablets,734.8,164.8,0.224,133.9,0.812,150.8,Central
Chhattisgarh,2019,Television & Monitors,580,126.5,0.218,91.4,0.723,83.6,Central
Chhattisgarh,2019,Refrigerators & AC,553.4,119.7,0.216,78.5,0.656,102,Central
Chhattisgarh,2019,Washing Machines,277.6,63.9,0.23,45.7,0.715,55.6,Central
Chhattisgarh,2019,Printers & Scanners,245.5,67.9,0.277,48.3,0.711,32.4,Central
Chhattisgarh,2019,Batteries & Cells,319.5,83.6,0.262,52.3,0.626,51.5,Central
Chhattisgarh,2019,Lighting Equipment,180,38.3,0.213,23.9,0.624,32.5,Central
Chhattisgarh,2020,Computers & Peripherals,789.3,156,0.198,113.4,0.727,111,Central
Chhattisgarh,2020,Mobile Phones & Tablets,726.3,173.1,0.238,119.6,0.691,91.1,Central
Chhattisgarh,2020,Television & Monitors,488.4,101.2,0.207,74.9,0.74,88.9,Central
Chhattisgarh,2020,Refrigerators & AC,485.2,106.7,0.22,83.1,0.779,63.8,Central
Chhattisgarh,2020,Washing Machines,296.4,57,0.192,39.1,0.686,60.2,Central
Chhattisgarh,2020,Printers & Scanners,271.4,53.4,0.197,39,0.73,51.6,Central
Chhattisgarh,2020,Batteries & Cells,279.7,52.8,0.189,33.5,0.634,53.6,Central
Chhattisgarh,2020,Lighting Equipment,183.7,34,0.185,25.6,0.753,25.5,Central
Chhattisgarh,2021,Computers & Peripherals,885.4,231.4,0.261,165.3,0.714,175.4,Central
Chhattisgarh,2021,Mobile Phones & Tablets,767.6,182.9,0.238,128.7,0.704,163.2,Central
Chhattisgarh,2021,Television & Monitors,591.5,164,0.277,130.1,0.793,97.6,Central
Chhattisgarh,2021,Refrigerators & AC,530.1,162.7,0.307,103.1,0.634,90.1,Central
Chhattisgarh,2021,Washing Machines,294,68.6,0.233,57.2,0.834,59.9,Central
Chhattisgarh,2021,Printers & Scanners,254.3,68.8,0.271,57.1,0.83,35,Central
Chhattisgarh,2021,Batteries & Cells,334.5,96.6,0.289,61.1,0.633,53.1,Central
Chhattisgarh,2021,Lighting Equipment,186.8,56.2,0.301,40.8,0.726,29.6,Central
Chhattisgarh,2022,Computers & Peripherals,926.3,312.6,0.337,247.1,0.79,136.5,Central
Chhattisgarh,2022,Mobile Phones & Tablets,839.2,287.3,0.342,204.9,0.713,111.9,Central
Chhattisgarh,2022,Television & Monitors,554.5,176.3,0.318,138.8,0.787,83.1,Central
Chhattisgarh,2022,Refrigerators & AC,554.2,184.3,0.332,143.4,0.778,118.4,Central
Chhattisgarh,2022,Washing Machines,311.7,85.1,0.273,64.3,0.756,46.5,Central
Chhattisgarh,2022,Printers & Scanners,254.5,80.3,0.316,67.9,0.846,47.1,Central
Chhattisgarh,2022,Batteries & Cells,377.2,113.3,0.3,87.6,0.773,57.4,Central
